Reason Code,Reason Description,Asset Impact,Traffic,Due Date,Priority
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Medium,Low,13,Normal
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,High,Medium,-5,Critical
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Medium,Medium,1,Urgent
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,High,Medium,0,Critical
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,High,Medium,-1,Critical
EOMT,Routine material train logistics coordination for upcoming ballast supply.,Low,Medium,12,Normal
ETMR,Track geometry deviation beyond permissible limits found during inspection; urgent repair needed.,Medium,Medium,2,Urgent
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",Medium,Medium,-5,Critical
TPWR,Traction power interruption reported on the corridor causing service delays; needs urgent repair.,High,Low,2,Urgent
OTHR,Minor miscellaneous issue noted during inspection; can be addressed within the week.,Low,High,2,Urgent
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Low,Medium,7,Moderate
SREP,Signalling equipment check completed under the regular maintenance cycle.,Medium,Medium,12,Moderate
ETMR,Routine track patrol maintenance as per periodic schedule.,Medium,Low,12,Normal
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,High,High,-2,Critical
ETMR,Track geometry failure detected posing an immediate derailment risk; urgent repair required.,High,Low,-3,Critical
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,Medium,High,-3,Critical
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,Medium,Low,-3,Urgent
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Medium,High,0,Urgent
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,High,Low,-1,Critical
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,High,13,Moderate
ETMR,Track alignment fault found during inspection; urgent correction recommended.,Medium,High,2,Critical
EOMT,Unsafe material train loading condition reported at the yard; immediate corrective action required.,Medium,Low,-1,Urgent
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Low,Low,0,Moderate
TOHE,OHE component showing significant wear affecting current collection; urgent maintenance recommended.,High,High,2,Critical
ETMR,Minor track geometry deviation noted during inspection; can be addressed in the coming days.,Medium,Medium,4,Urgent
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,Medium,4,Urgent
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,Medium,Medium,0,Critical
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,Medium,Medium,0,Critical
EOMT,Material train movement scheduling conflict with regular traffic; can be resolved in the coming days.,Medium,High,5,Urgent
ERRL,Severe rail fracture detected on the running line; immediate replacement required to prevent derailment.,Medium,High,-1,Critical
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,High,4,Moderate
SSIG,Signal aspect malfunction posing safety risk to train movement; immediate correction required.,High,Low,-3,Critical
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,High,High,-2,Critical
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,Medium,Low,0,Urgent
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Medium,Low,1,Moderate
OTHR,General maintenance check completed under the regular schedule.,Low,Medium,14,Normal
ERRL,Rail wear pattern approaching the replacement limit; urgent renewal recommended.,High,Medium,2,Critical
ERRL,Scheduled rail replacement under normal asset renewal programme.,Medium,Medium,11,Moderate
OTHR,Standard general maintenance check completed with no issues found.,Medium,High,8,Moderate
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Low,4,Normal
OTHR,Standard general maintenance check completed with no issues found.,Low,Low,3,Normal
SSIG,Standard signal equipment check completed with no issues found.,Low,Low,8,Normal
OTHR,General maintenance check completed under the regular schedule.,Low,Low,4,Normal
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Medium,High,6,Urgent
ERRL,Rail section nearing renewal threshold as per condition monitoring; can be addressed in the coming days.,Low,Medium,0,Moderate
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,High,Low,-2,Critical
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,High,9,Moderate
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,Medium,High,-5,Critical
ERRL,Rail segment renewed as part of the standard asset lifecycle programme.,Low,Low,3,Normal
ETMR,Minor track geometry deviation noted during inspection; can be addressed in the coming days.,Medium,Medium,3,Urgent
TOHE,OHE insulator failure causing sparking incidents; immediate maintenance required to avoid service disruption.,High,Low,-4,Critical
TREP,Electrical equipment showing performance degradation; can be addressed in the coming days.,Low,Medium,4,Moderate
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Low,Low,5,Normal
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Low,14,Normal
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Low,Medium,11,Normal
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Medium,High,1,Urgent
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Low,Medium,3,Moderate
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",Medium,High,-4,Critical
ETMW,"Track machine fault occurred while occupying the running line, creating an unsafe condition for oncoming trains; immediate action required.",Medium,High,-4,Critical
SSIG,Routine signal maintenance as per periodic inspection calendar.,Medium,High,8,Moderate
OTHR,Standard general maintenance check completed with no issues found.,Medium,Medium,3,Moderate
STEL,Routine telecom equipment testing as per maintenance calendar.,Low,Low,8,Normal
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,Medium,4,Moderate
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,Medium,Low,-5,Urgent
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,Low,9,Normal
ETMR,Minor track geometry deviation noted during inspection; can be addressed in the coming days.,Medium,High,6,Urgent
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Low,Medium,7,Moderate
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Low,Medium,14,Normal
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Low,High,5,Urgent
TPWR,Traction power system logged as normal during the latest periodic check.,Medium,Low,5,Moderate
TPWR,Routine traction power system inspection as per maintenance calendar.,Medium,Medium,7,Moderate
STEL,Telecom equipment condition slightly below standard; can be addressed in the coming days.,Medium,High,0,Urgent
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Medium,Medium,7,Moderate
ETMR,Track geometry deviation beyond permissible limits found during inspection; urgent repair needed.,High,Medium,2,Critical
ERRL,Moderate rail wear observed during routine inspection; renewal can be planned within the week.,Medium,Medium,2,Urgent
ETMR,Routine track patrol maintenance as per periodic schedule.,Low,High,11,Moderate
OTHR,General maintenance check completed under the regular schedule.,Medium,Low,14,Normal
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,Medium,Medium,0,Critical
STEL,Communication equipment fault causing intermittent signal loss; urgent repair recommended.,Medium,Low,2,Urgent
TREP,Critical electrical panel failure at the substation risking traction power outage; immediate repair needed.,High,Low,-1,Critical
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,High,Low,-4,Critical
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,Low,4,Moderate
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,Low,6,Normal
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,Medium,3,Moderate
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",High,High,-3,Critical
TREP,Electrical equipment showing performance degradation; can be addressed in the coming days.,Medium,Medium,0,Urgent
TPWR,Scheduled traction power equipment check showing early wear signs; can be addressed in the coming days.,Medium,Medium,7,Moderate
EOMT,Standard material train scheduling update for periodic track renewal work.,Low,High,14,Moderate
OTHR,General maintenance item requiring attention in the coming days.,Medium,High,6,Urgent
ERRL,Moderate rail wear observed during routine inspection; renewal can be planned within the week.,Low,High,2,Urgent
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",High,High,-5,Critical
STEL,Telecom equipment check completed under the regular maintenance schedule.,Low,Medium,10,Normal
ETMR,Track alignment fault found during inspection; urgent correction recommended.,Medium,Low,1,Urgent
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Low,5,Normal
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Low,11,Normal
TPWR,Traction power parameters slightly outside normal range; can be corrected within the week.,Medium,Medium,0,Urgent
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Medium,Low,12,Normal
ETMR,Minor track geometry deviation noted during inspection; can be addressed in the coming days.,Low,High,5,Urgent
TPWR,Traction power parameters slightly outside normal range; can be corrected within the week.,Medium,High,3,Urgent
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,Medium,Low,-2,Urgent
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Low,Medium,10,Normal
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Low,Low,8,Normal
SREP,Signalling equipment check completed under the regular maintenance cycle.,Medium,Medium,11,Moderate
TOHE,OHE inspection completed as part of the regular maintenance programme.,Medium,Low,12,Normal
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Medium,High,7,Urgent
ERRL,Scheduled rail replacement under normal asset renewal programme.,Medium,Low,12,Normal
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Medium,Low,10,Normal
TPWR,Traction power system logged as normal during the latest periodic check.,Low,Low,9,Normal
TPWR,Periodic traction power equipment check completed with no issues found.,Low,Low,10,Normal
OTHR,Standard general maintenance check completed with no issues found.,Low,High,14,Moderate
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,Medium,High,-5,Critical
EOMT,Standard material train scheduling update for periodic track renewal work.,Medium,Medium,10,Moderate
TOHE,OHE conductor damage found posing an immediate safety hazard; urgent maintenance required.,Medium,Low,-4,Urgent
OTHR,Minor miscellaneous issue noted during inspection; can be addressed within the week.,Low,Low,0,Moderate
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Low,12,Normal
STEL,Telecom equipment performance degradation noted; can be addressed in the coming days.,Low,High,2,Urgent
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,High,High,-2,Critical
SSIG,Standard signal equipment check completed with no issues found.,Low,Low,14,Normal
STEL,Complete communication link failure between control office and field staff; immediate restoration required.,Medium,Low,-3,Urgent
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,Medium,High,-4,Critical
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,Low,14,Normal
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,Low,10,Normal
ERRL,Scheduled rail replacement under normal asset renewal programme.,Medium,Low,14,Normal
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,Low,7,Normal
SSIG,Signal equipment fault detected affecting reliability; urgent maintenance recommended.,Medium,Low,1,Urgent
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Low,6,Normal
STEL,Telecom equipment condition slightly below standard; can be addressed in the coming days.,Low,Low,1,Moderate
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Low,Low,7,Normal
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Medium,Medium,7,Moderate
ETMR,Track geometry failure detected posing an immediate derailment risk; urgent repair required.,Medium,Low,-2,Urgent
STEL,Routine telecom equipment testing as per maintenance calendar.,Medium,Medium,3,Moderate
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,High,3,Urgent
ETMW,Recurring track machine faults are affecting the maintenance schedule and need urgent correction.,High,High,1,Critical
TREP,Critical electrical panel failure at the substation risking traction power outage; immediate repair needed.,High,High,-4,Critical
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,Low,12,Normal
TOHE,Minor OHE wear detected during inspection; maintenance can be planned within the week.,Low,High,4,Urgent
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Low,Low,6,Normal
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,Low,5,Normal
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,Medium,Medium,-3,Critical
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,Medium,High,0,Critical
EOMT,Standard material train scheduling update for periodic track renewal work.,Medium,Low,12,Normal
EOMT,Material train movement scheduling conflict with regular traffic; can be resolved in the coming days.,Medium,Medium,6,Moderate
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,High,3,Moderate
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,High,Low,-3,Critical
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,Low,13,Normal
STEL,Standard telecom equipment check completed under periodic maintenance.,Low,Medium,6,Moderate
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Low,9,Normal
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Medium,12,Normal
ETMR,Track alignment fault found during inspection; urgent correction recommended.,High,Medium,1,Critical
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,Low,8,Normal
OTHR,Unclassified maintenance issue is affecting normal operations; urgent attention recommended.,High,Medium,1,Critical
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Low,High,6,Moderate
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,Medium,Low,-1,Urgent
ETMW,Track tamping machine malfunction causing irregular track geometry; requires urgent repair before next scheduled traffic.,High,Low,2,Urgent
STEL,Standard telecom equipment check completed under periodic maintenance.,Low,Low,12,Normal
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,Medium,Medium,0,Critical
SSIG,Signal equipment condition slightly below standard; can be addressed in the coming days.,Low,High,1,Urgent
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",Medium,Low,-1,Urgent
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,High,13,Moderate
STEL,Telecom equipment fault is disrupting coordination; urgent repair recommended.,Medium,Low,2,Urgent
TPWR,Traction power system logged as normal during the latest periodic check.,Low,Medium,13,Normal
TREP,Critical electrical panel failure at the substation risking traction power outage; immediate repair needed.,Medium,Medium,-2,Critical
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Medium,Low,12,Normal
SSIG,Slight signal timing deviation observed; can be corrected within the week.,Medium,Medium,3,Urgent
TOHE,OHE inspection completed as part of the regular maintenance programme.,Medium,Medium,9,Moderate
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Medium,Low,3,Moderate
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Low,High,1,Urgent
STEL,Telecom equipment fault is disrupting coordination; urgent repair recommended.,High,Low,2,Urgent
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,High,3,Moderate
SSIG,Standard signal equipment check completed with no issues found.,Low,Low,5,Normal
TOHE,OHE conductor damage found posing an immediate safety hazard; urgent maintenance required.,Medium,High,-1,Critical
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,High,High,-5,Critical
SSIG,Signal aspect malfunction posing safety risk to train movement; immediate correction required.,High,High,-2,Critical
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Medium,High,3,Urgent
SREP,Signalling relay malfunction detected; urgent repair needed to avoid service impact.,Medium,Low,2,Urgent
TREP,Minor electrical fault noted during inspection; repair can be planned within the week.,Low,High,4,Urgent
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,High,4,Moderate
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Medium,Low,11,Normal
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,High,Low,-5,Critical
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,Medium,High,-5,Critical
EOMT,Material train movement scheduling conflict with regular traffic; can be resolved in the coming days.,Medium,High,7,Urgent
OTHR,Standard general maintenance check completed with no issues found.,Medium,High,10,Moderate
TOHE,OHE component showing significant wear affecting current collection; urgent maintenance recommended.,Medium,High,2,Critical
STEL,Total loss of telecom connectivity on the section disrupting coordination; immediate restoration necessary.,High,Low,-1,Critical
TPWR,Traction power equipment showing slight deviation from standard; can be addressed in the coming days.,Medium,High,4,Urgent
TREP,Electrical switchgear fault reported affecting power reliability; urgent repair recommended.,Medium,Low,1,Urgent
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,Medium,3,Urgent
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,Medium,High,-5,Critical
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,Low,13,Normal
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,High,3,Urgent
TREP,Standard electrical equipment check completed under periodic maintenance.,Medium,High,4,Urgent
SREP,Routine signalling equipment upkeep as per periodic schedule.,Low,Medium,13,Normal
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,Medium,Medium,-1,Critical
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Medium,Low,11,Normal
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,High,High,0,Critical
ERRL,Severe rail fracture detected on the running line; immediate replacement required to prevent derailment.,High,High,-5,Critical
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,High,Low,-1,Critical
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,High,High,0,Critical
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Medium,High,8,Moderate
SREP,Minor signalling equipment fault noted; repair can be planned within the week.,Medium,Medium,5,Urgent
TOHE,OHE contact wire severely worn and at risk of snapping; immediate maintenance necessary.,High,Medium,-2,Critical
ETMR,Track geometry failure detected posing an immediate derailment risk; urgent repair required.,High,Medium,-2,Critical
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Medium,Medium,0,Urgent
TPWR,Traction power parameters slightly outside normal range; can be corrected within the week.,Medium,High,4,Urgent
TPWR,Traction power equipment showing slight deviation from standard; can be addressed in the coming days.,Medium,High,6,Urgent
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",High,Low,-5,Critical
ETMR,Routine track patrol maintenance as per periodic schedule.,Medium,Medium,4,Moderate
OTHR,Standard general maintenance check completed with no issues found.,Medium,High,3,Urgent
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Medium,7,Moderate
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,Medium,-1,Critical
STEL,Complete communication link failure between control office and field staff; immediate restoration required.,High,Medium,0,Critical
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Medium,Low,3,Moderate
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,Low,11,Normal
ETMR,Routine track patrol maintenance as per periodic schedule.,Medium,High,5,Urgent
TREP,Electrical equipment fault at the substation has caused a loss of supply; immediate repair required.,Medium,High,-4,Critical
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Low,High,5,Urgent
TREP,Electrical equipment showing performance degradation; can be addressed in the coming days.,Low,Medium,2,Moderate
ETMW,"Track machine fault occurred while occupying the running line, creating an unsafe condition for oncoming trains; immediate action required.",Medium,Low,-1,Urgent
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Medium,High,3,Urgent
ETMW,"Track machine fault occurred while occupying the running line, creating an unsafe condition for oncoming trains; immediate action required.",High,High,-5,Critical
ETMW,Track tamping machine malfunction causing irregular track geometry; requires urgent repair before next scheduled traffic.,Medium,High,1,Critical
ETMR,Track surface slightly uneven per latest patrol; can be addressed in the coming days.,Medium,High,6,Urgent
SREP,Standard signalling equipment check completed under regular maintenance.,Low,Medium,13,Normal
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,High,Medium,-3,Critical
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,High,Medium,-2,Critical
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,Low,6,Normal
STEL,Telecom equipment condition slightly below standard; can be addressed in the coming days.,Low,Medium,0,Moderate
OTHR,General maintenance check completed under the regular schedule.,Medium,Low,6,Moderate
ETMR,Significant track misalignment detected affecting ride quality; urgent repair recommended.,High,High,2,Critical
EOMT,Material train movement obstruction reported affecting adjacent line clearance; requires urgent attention.,Medium,High,2,Critical
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,Low,8,Normal
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,Medium,Low,-4,Urgent
TREP,Electrical equipment fault at the substation has caused a loss of supply; immediate repair required.,High,Low,-4,Critical
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Medium,High,2,Urgent
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,Medium,Medium,-3,Critical
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,Low,8,Normal
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,Medium,Medium,-2,Critical
EOMT,"Material train loading operation delayed, blocking siding access; needs prompt resolution.",High,High,2,Critical
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Low,High,4,Urgent
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Medium,Medium,1,Urgent
TREP,Standard electrical equipment check completed under periodic maintenance.,Medium,Low,14,Normal
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,High,Low,-1,Critical
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Low,Medium,1,Moderate
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,Medium,Medium,0,Critical
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Low,13,Normal
TOHE,OHE component showing significant wear affecting current collection; urgent maintenance recommended.,Medium,High,1,Critical
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,High,Low,-4,Critical
SREP,Minor signalling equipment fault noted; repair can be planned within the week.,Medium,Low,5,Moderate
STEL,Total loss of telecom connectivity on the section disrupting coordination; immediate restoration necessary.,Medium,Medium,-2,Critical
ERRL,Rail segment renewed as part of the standard asset lifecycle programme.,Low,Low,11,Normal
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Medium,Medium,3,Urgent
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,High,Medium,-1,Critical
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,Medium,Low,-1,Urgent
STEL,Telecom equipment performance degradation noted; can be addressed in the coming days.,Medium,Low,6,Moderate
TPWR,Traction power system logged as normal during the latest periodic check.,Low,Medium,10,Normal
TPWR,Traction power system logged as normal during the latest periodic check.,Low,High,12,Moderate
OTHR,General maintenance item requiring attention in the coming days.,Medium,Medium,5,Urgent
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,High,Low,-5,Critical
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Medium,High,4,Urgent
ETMR,Track geometry deviation beyond permissible limits found during inspection; urgent repair needed.,High,Medium,1,Critical
ERRL,Rail wear pattern approaching the replacement limit; urgent renewal recommended.,High,Medium,1,Critical
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Low,High,0,Urgent
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,High,Low,0,Critical
TOHE,OHE conductor damage found posing an immediate safety hazard; urgent maintenance required.,High,Low,-3,Critical
OTHR,General maintenance check completed under the regular schedule.,Low,Medium,4,Moderate
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,High,Medium,-1,Critical
